Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","12pF","C_0201_0603Metric",30.212000,-44.708000,180.000000,top
"C2","12pF","C_0201_0603Metric",30.400000,-40.644000,0.000000,top
"C3","0.8pF","C_0201_0603Metric",25.955000,-42.676000,0.000000,top
"C4","0.5pF","C_0201_0603Metric",25.955000,-44.962000,180.000000,top
"C5","100nF","C_0201_0603Metric",27.352000,-33.085000,90.000000,top
"C6","4.7uF","C_0201_0603Metric",20.240000,-32.135000,180.000000,top
"C7","100nF","C_0201_0603Metric",19.859000,-38.612000,180.000000,top
"C8","100nF","C_0201_0603Metric",19.859000,-41.533000,180.000000,top
"C9","820pF","C_0201_0603Metric",23.923000,-44.073000,270.000000,top
"C10","N.C.","C_0201_0603Metric",27.352000,-43.311000,270.000000,top
"C11","100nF","C_0201_0603Metric",28.114000,-43.311000,90.000000,top
"C12","100nF","C_0201_0603Metric",29.257000,-40.263000,270.000000,top
"C13","N.C.","C_0201_0603Metric",30.400000,-39.882000,0.000000,top
"C14","1.0uF","C_0402_1005Metric",28.241000,-32.897000,90.000000,top
"C15","1.0uF","C_0402_1005Metric",29.257000,-35.460000,270.000000,top
"C16","12pF","C_0402_1005Metric",25.932000,-30.738000,0.000000,top
"C17","12pF","C_0402_1005Metric",24.558000,-32.389000,90.000000,top
"C18","4.7uF","C_0201_0603Metric",20.240000,-32.897000,180.000000,top
"C19","4.7uF","C_0201_0603Metric",19.859000,-34.802000,180.000000,top
"C20","4.7uF","C_0201_0603Metric",19.859000,-35.564000,180.000000,top
"C22","N.C.","C_0201_0603Metric",30.212000,-45.470000,0.000000,top
"C23","10uF","C_0402_1005Metric",20.367000,-29.087000,180.000000,top
"C24","10uF","C_0402_1005Metric",22.272000,-28.071000,90.000000,top
"C25","10nF","C_0201_0603Metric",22.526000,-32.262000,180.000000,top
"D1","1N5819","D_SOD-523",20.367000,-27.117000,90.000000,top
"L1","4.7nH","L_0201_0603Metric",25.574000,-43.819000,270.000000,top
"L2","10nH","L_0402_1005Metric",29.765000,-33.786000,180.000000,top
"L3","15nH","L_0402_1005Metric",30.273000,-35.460000,90.000000,top
"L4","10nH","L_0402_1005Metric",20.263000,-33.786000,0.000000,top
"Q1","DMP2088LCP3-7","X2-DSN1006-3",20.367000,-30.738000,270.000000,top
"Q2","DMN3110LCP3-7","X2-DSN1006-3",29.511000,-27.817000,0.000000,top
"R1","5k1","R_0201_0603Metric",22.526000,-25.658000,0.000000,top
"R2","5k1","R_0201_0603Metric",27.225000,-25.658000,180.000000,top
"R3","100K","R_0201_0603Metric",27.225000,-29.087000,270.000000,top
"R4","10M","R_0201_0603Metric",22.526000,-31.500000,180.000000,top
"R5","4.7K","R_0201_0603Metric",28.241000,-30.992000,270.000000,top
"R6","10K","R_0201_0603Metric",27.225000,-27.502000,270.000000,top
"R7","4M","R_0201_0603Metric",22.526000,-30.738000,0.000000,top
"R8","1K","R_0201_0603Metric",29.511000,-28.706000,180.000000,top
"U1","nRF52840-QIAA","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",24.685000,-38.358000,270.000000,top
"U2","MCP73831-2-OT","SOT-23-5",24.939000,-28.198000,90.000000,top
"X1","32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",29.765000,-42.676000,270.000000,top
"X2","32.768kHz","Crystal_SMD_2012-2Pin_2.0x1.2mm",25.955000,-32.581000,90.000000,top
